iShares Russell 1000 ETF
Fund Holdings as of,"Feb 25, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"122,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"INTU","INTUIT INC","Information Technology","Equity","76,149,167.58","0.16","76,149,167.58","199,746.00","381.23","United States","NASDAQ","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","76,068,029.00","0.16","76,068,029.00","292,975.00","259.64","United States","NYSE","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","74,848,014.12","0.16","74,848,014.12","162,706.00","460.02","United States","NYSE","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","74,452,159.12","0.16","74,452,159.12","228,493.00","325.84","United States","NASDAQ","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","73,399,880.18","0.16","73,399,880.18","174,086.00","421.63","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","73,259,573.16","0.16","73,259,573.16","568,212.00","128.93","United States","NYSE","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","72,903,764.83","0.16","72,903,764.83","278,057.00","262.19","United States","NYSE","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","72,265,870.05","0.16","72,265,870.05","248,379.00","290.95","United States","NASDAQ","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","71,963,422.32","0.15","71,963,422.32","1,045,676.00","68.82","United States","NYSE","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","69,696,532.50","0.15","69,696,532.50","99,050.00","703.65","United States","NYSE","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","69,587,146.03","0.15","69,587,146.03","913,337.00","76.19","United States","NYSE","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","69,559,364.37","0.15","69,559,364.37","481,413.00","144.49","United States","NYSE","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","68,573,443.84","0.15","68,573,443.84","71,392.00","960.52","United States","NASDAQ","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","66,854,563.73","0.14","66,854,563.73","416,981.00","160.33","United States","NYSE","USD","1.00","USD","-"
